subject,wm_snr_orig,gm_snr_orig,wm_snr_norm,gm_snr_norm,cc_size,holes_lh,holes_rh,defects_lh,defects_rh,topo_lh,topo_rh,con_snr_lh,con_snr_rh,rot_tal_x,rot_tal_y,rot_tal_z
sub-000103_ffs,10.000653566752469,6.0196915567746565,19.432695317326306,6.109107259014895,0.003045983956289545,11,6,12,14,1.4,3.0,3.6606135,3.634103,-0.12550475889870807,-0.03975006587234889,0.05755480978342937
sub-000148_ffs,14.769779396275831,7.689649144906219,20.325463328012866,6.1328225956039395,0.00461752091560844,9,9,11,13,0.8,2.0,3.8510015,3.7554314,-0.0946716054459234,-0.05496857786009302,-0.019178520693806295
sub-000149_ffs,12.32418469640713,6.921628242510038,23.187857930059813,6.459551357466625,0.004435663459850429,5,4,11,9,1.3,1.9,3.8359942,3.6686032,-0.41935829562192345,-0.011683355422877722,0.03187716610305431
sub-000159_ffs,11.519913685761875,6.663153729878757,19.410462493372325,6.548151286369568,0.0038946659855536854,5,6,12,8,1.5,1.6,3.7868636,3.62586,-0.18989104293114054,-0.030724702454840123,-0.014502262101024364
sub-000175_ffs,10.050162724207974,5.9156306103951515,21.516876031095205,6.1908878233708435,0.002559581427636096,9,4,10,14,0.7,1.3,3.956455,3.8288631,-0.2526400327472564,-0.013951046871223068,0.10233918708710275
sub-000179_ffs,13.456575848963888,7.118264290500192,23.401673732749067,5.989637830402223,0.004458546677236593,4,6,9,6,1.0,0.7,3.883089,3.6904888,-0.05980808018945468,0.046802639710146754,0.07066259650850054
sub-003617_ffs,10.944455920717143,6.407597671690944,21.572186687460192,5.983565466936287,0.003485834727546909,3,5,10,8,0.7,0.6,3.975074,3.9429498,-0.302005709711606,0.033923450731144986,0.0564636357215834
sub-009673_ffs,11.472163480798109,6.634685168863033,21.600032290806773,6.400492210845075,0.003020889886836038,9,4,16,12,0.6,1.7,3.805744,3.849706,-0.0943048763502211,-0.08315984183375924,0.07106538530321428
sub-010769_ffs,11.254112356458805,6.384920147777538,19.769806394325926,5.855188827764941,0.0024393561129671805,3,8,11,6,1.0,0.8,3.772814,3.6799276,-0.21134096907832728,-0.00672971904335871,0.01624201399042988
sub-012059_ffs,14.17010312256584,7.897850134158127,21.438045458715518,6.598275125944844,0.004225536332811755,11,4,14,8,0.8,1.7,3.9292963,3.925005,-0.24357109871855429,0.0038959152052671234,-0.012966851264995142
sub-012322_ffs,12.238107207414137,6.940352612114824,22.26350229607473,6.353399468506002,0.0030975841874920688,6,10,12,8,1.0,1.5,3.909443,3.7446744,0.022258722528944053,0.07593163056634371,0.0428744103251086
sub-067018_ffs,12.30557985450771,6.514083064544334,19.24815701285474,6.1241193632602515,0.003696304277176295,4,2,6,10,0.7,1.1,3.9714863,3.8379009,-0.25480880980045517,-0.05413890715096036,0.06931017968502157
sub-089207_ffs,10.880753861641718,6.277014644542302,23.170438581258043,6.6568839564153395,0.0023084842247552474,7,9,9,12,0.9,1.5,4.0441933,3.810037,-0.22425224150240478,-0.047001944980532215,0.024511466012537564
